timestamp,bn_index,bn_constructed_index
23400,56947.25,55592.623708497355
23401,56947.6,55594.41636690371
23402,56946.15,55595.85763777289
23403,56953.8,55602.53761318678
23404,56959.5,55617.24090391965
23405,56962.6,55624.75228913735
23406,56954.75,55624.2837055284
23407,56962.2,55634.499430238335
23408,56975.5,55648.61051958789
23409,56979.15,55651.8940163801
23410,56974.25,55647.94928490201
23411,56961.95,55631.65180650767
23412,56950.5,55626.71813283475
23413,56944.95,55620.453761983656
23414,56947.35,55621.80151680927
23415,56931.45,55605.16529360465
23416,56923.3,55600.653244840694
23417,56929.8,55609.39579084681
23418,56918.15,55594.427002848584
23419,56925.15,55598.312935612565
23420,56918.65,55603.495048903416
23421,56907.35,55586.46088081807
23422,56906.5,55586.16989742062
23423,56896.65,55579.487513868284
23424,56886.05,55566.72678816099
23425,56879.85,55564.7328495149
23426,56895.85,55586.840764660345
23427,56910.5,55592.03090507943
23428,56915.9,55596.46368595236
23429,56905.65,55583.411174134824
23430,56902.8,55581.38713375796
23431,56903.8,55584.22010797967
23432,56899.5,55581.236625104124
23433,56898.35,55588.52084259362
23434,56899.15,55587.25335905009
23435,56893.3,55583.85266618608
23436,56902.55,55591.526801428154
23437,56902.55,55602.91368414318
23438,56901.4,55598.55334810229
23439,56897.95,55599.23966756381
23440,56898.45,55597.48433530363
23441,56900.6,55601.5542899817
23442,56914.4,55611.58177853523
23443,56911.2,55603.367818921375
23444,56917.45,55611.52598999419
23445,56915.95,55609.98919629937
23446,56921.05,55612.15050056853
23447,56921.45,55606.07717536874
23448,56923.1,55608.49233756736
23449,56936.35,55617.60272672349
23450,56941.3,55618.28262448244
23451,56951.6,55616.631243532494
23452,56947.9,55607.2399048892
23453,56949.1,55611.58177853522
23454,56932.6,55593.741887456286
23455,56935.5,55603.92229280212
23456,56934.75,55601.66365960348
23457,56921.8,55596.24354196134
23458,56909.4,55591.69175891276
23459,56907.05,55588.69824212696
23460,56918.8,55598.051451911284
23461,56917.0,55599.64844906763
23462,56913.7,55597.46928443823
23463,56912.25,55595.36738091778
23464,56915.1,55598.01472779973
23465,56916.2,55595.9009842652
23466,56914.9,55593.42642131784
23467,56909.75,55590.363670551276
23468,56907.75,55586.69065736293
23469,56910.55,55585.07339170784
23470,56905.8,55585.87449910269
23471,56908.2,55591.94340938199
23472,56910.15,55598.12469945615
23473,56918.1,55602.70477813164
23474,56918.35,55603.96764607648
23475,56912.65,55601.772226512454
23476,56921.35,55610.95927474292
23477,56922.35,55611.83764324675
23478,56922.5,55610.298040057045
23479,56931.35,55614.67924663128
23480,56934.25,55617.559781587595
23481,56933.9,55617.459241806835
23482,56937.2,55620.15715959648
23483,56942.85,55622.27230787846
23484,56943.95,55627.151196401384
23485,56931.95,55615.99047802353
23486,56936.95,55619.66569867216
23487,56922.85,55604.44004257134
23488,56920.25,55603.132624064965
23489,56919.8,55604.34652652776
23490,56922.6,55603.45270580214
23491,56920.55,55601.938789422704
23492,56932.2,55613.11496002235
23493,56934.85,55615.67782137996
23494,56924.1,55604.63329568287
23495,56914.55,55592.217134453786
23496,56927.25,55604.62767669312
23497,56911.6,55592.28416097428
23498,56917.1,55594.46352628191
23499,56903.3,55583.37605544892
23500,56903.25,55581.66868527975
23501,56904.9,55582.66284510792
23502,56905.4,55576.04949485814
23503,56904.95,55582.604046393826
23504,56891.15,55569.64966621858
23505,56876.3,55550.56737637175
23506,56878.05,55556.613409335674
23507,56870.3,55548.92522661925
23508,56863.85,55541.73552856434
23509,56848.1,55531.62315313005
23510,56846.05,55526.86166135712
23511,56840.5,55521.82363501755
23512,56849.75,55534.406158478676
23513,56863.8,55544.622284545025
23514,56859.7,55544.05095369504
23515,56858.65,55543.2265676284
23516,56857.7,55540.476072148995
23517,56868.4,55553.43286046271
23518,56874.95,55557.27343995229
23519,56849.9,55529.58406188779
23520,56855.2,55531.67432607235
23521,56841.25,55515.58936589722
23522,56857.35,55533.451732935115
23523,56865.2,55535.590561245306
23524,56865.95,55533.88198700689
23525,56877.9,55549.61214811539
23526,56878.1,55550.970137529446
23527,56886.05,55555.39549330879
23528,56884.3,55553.12622416527
23529,56878.85,55549.37434444231
23530,56883.4,55554.1619243819
23531,56886.85,55559.44176795867
23532,56876.5,55547.911400326964
23533,56871.0,55544.24280205913
23534,56861.35,55536.14443309144
23535,56866.4,55537.56964970421
23536,56862.35,55540.00528107978
23537,56861.1,55542.86133329508
23538,56870.35,55548.752844041046
23539,56867.95,55544.32949504375
23540,56870.1,55547.27665516416
23541,56861.75,55536.12175645425
23542,56873.95,55550.93782833841
23543,56859.3,55530.9394424852
23544,56866.75,55537.91561892985
23545,56858.45,55532.11521608901
23546,56861.4,55538.6503018388
23547,56867.8,55546.093456466784
23548,56866.05,55539.824269338766
23549,56863.25,55539.39461730159
23550,56864.0,55542.91611844508
23551,56863.4,55544.416388706566
23552,56869.6,55541.980355974585
23553,56855.7,55528.332431922456
23554,56855.2,55526.23333789688
23555,56851.45,55525.74870003152
23556,56849.05,55522.281382003406
23557,56841.95,55520.589062699626
23558,56862.65,55543.27673717968
23559,56848.9,55523.138077261094
23560,56844.05,55523.14851252775
23561,56847.8,55527.45025053273
23562,56844.2,55523.358020573905
23563,56842.35,55521.25431094962
23564,56848.0,55524.77601277129
23565,56841.0,55521.87500863805
23566,56845.3,55521.61954528293
23567,56848.85,55526.42859779047
23568,56843.6,55525.62548361356
23569,56850.2,55527.97000708401
23570,56841.8,55522.911912923926
23571,56843.4,55528.120716416044
23572,56835.15,55515.16312538953
23573,56833.75,55525.72281254305
23574,56826.7,55519.94247752273
23575,56828.6,55522.01648677264
23576,56841.8,55532.62574144283
23577,56841.6,55535.333893820956
23578,56840.2,55532.301445463374
23579,56850.1,55540.22642846182
23580,56840.9,55539.15761634135
23581,56842.2,55542.240635606635
23582,56841.45,55530.98539779417
23583,56840.35,55537.40268543756
23584,56848.8,55549.35307255257
23585,56995.75,55665.22888243226
23586,56864.3,55532.72106359026
23587,56810.7,55500.52043947461
23588,56767.2,55458.652343505426
23589,56771.75,55477.38465056253
23590,56773.4,55468.16850399231
23591,56742.45,55418.188192259266
23592,56727.25,55407.587968108324
23593,56741.3,55423.019118691176
23594,56745.05,55426.68611153336
23595,56769.0,55452.52483519024
23596,56758.25,55470.94368289094
23597,56753.9,55449.17591730315
23598,56740.35,55450.117098085175
23599,56708.85,55389.81711033196
23600,56629.1,55301.650344980895
23601,56613.5,55278.925545032886
23602,56667.25,55329.5668907736
23603,56680.4,55334.1668365914
23604,56705.35,55362.644880002044
23605,56709.95,55382.23709316809
23606,56700.8,55373.040412383765
23607,56700.05,55368.62248169802
23608,56684.45,55367.03170556601
23609,56716.95,55414.32513681066
23610,56723.35,55410.27785876977
23611,56703.55,55388.30881294226
23612,56713.9,55390.58490514475
23613,56713.25,55393.00789379339
23614,56702.75,55381.91560668349
23615,56675.95,55358.216313371406
23616,56680.95,55353.99083308436
23617,56653.25,55333.787554783725
23618,56671.15,55353.292472930545
23619,56697.55,55402.62660084309
23620,56714.8,55410.76791494667
23621,56705.1,55402.58907401873
23622,56712.95,55418.01601035928
23623,56689.5,55394.742957554874
23624,56684.55,55394.82784443565
23625,56675.4,55389.7992499717
23626,56674.6,55386.22958605899
23627,56683.75,55397.34695794454
23628,56676.05,55398.5636699022
23629,56666.0,55401.78234763414
23630,56651.45,55393.84993954209
23631,56667.4,55409.055728500585
23632,56672.3,55392.106647974186
23633,56688.8,55420.26842253356
23634,56706.35,55444.849295200744
23635,56739.45,55473.81117376392
23636,56738.25,55468.149238884616
23637,56755.45,55489.81144773648
23638,56764.8,55503.54646612966
23639,56756.25,55505.88256111547
23640,56752.25,55494.9130890671
23641,56748.25,55488.50001566601
23642,56757.5,55493.480447360744
23643,56778.05,55515.858074013886
23644,56786.6,55519.938664636815
23645,56786.6,55518.267215866385
23646,56779.55,55514.32449117034
23647,56778.05,55514.00240265112
23648,56780.4,55511.76323523837
23649,56772.35,55510.834295826855
23650,56796.2,55536.361165552975
23651,56796.15,55540.99984226437
23652,56794.95,55541.84951378486
23653,56795.35,55543.48443912198
23654,56782.35,55523.820383158505
23655,56758.05,55501.441753114326
23656,56757.05,55502.360859293796
23657,56758.0,55500.7351651541
23658,56739.85,55476.08144629848
23659,56746.9,55476.512503083075
23660,56729.45,55459.71533595795
23661,56718.9,55447.47236001988
23662,56727.6,55455.07083957861
23663,56716.1,55443.8332614482
23664,56728.2,55448.983266226234
23665,56726.95,55459.52007606437
23666,56730.5,55467.44224956795
23667,56740.55,55476.04592625617
23668,56754.25,55479.81325820092
23669,56754.35,55483.95926991873
23670,56755.2,55478.693072459915
23671,56768.65,55491.81742707488
23672,56763.3,55491.056053964654
23673,56749.8,55474.490469488264
23674,56754.9,55486.64554837251
23675,56753.7,55483.5001181854
23676,56722.5,55449.06273479547
23677,56723.4,55454.76982227093
23678,56708.7,55440.84696907779
23679,56704.0,55440.879880303444
23680,56713.55,55454.4236523671
23681,56715.65,55451.507998724876
23682,56676.3,55401.69144040723
23683,56662.3,55385.48226042312
23684,56680.0,55406.00361367888
23685,56650.6,55381.52548825273
23686,56642.55,55378.326075628465
23687,56608.75,55345.11563878465
23688,56619.55,55365.58280892505
23689,56633.6,55377.11016638365
23690,56627.15,55370.763517468455
23691,56617.35,55371.179122031266
23692,56609.45,55362.02739316488
23693,56619.75,55372.02136845816
23694,56627.5,55377.98311657592
23695,56637.45,55383.89389242958
23696,56653.25,55400.900567600846
23697,56657.3,55407.73044963396
23698,56657.3,55407.30982811603
23699,56659.6,55412.71349014534
23700,56668.15,55416.39673792215
23701,56652.7,55397.91668336887
23702,56665.75,55409.10268720059
23703,56662.65,55399.221693736785
23704,56677.4,55409.45808830186
23705,56666.65,55403.06488204308
23706,56666.9,55404.785095617386
23707,56662.4,55407.35799088524
23708,56655.5,55397.120592929175
23709,56661.0,55401.85639789183
23710,56653.85,55397.911666413755
23711,56645.15,55387.20227331923
23712,56635.05,55384.10039030266
23713,56646.7,55386.34678213078
23714,56645.15,55385.150338671854
23715,56655.5,55393.55835411005
23716,56652.4,55388.278109176885
23717,56652.85,55391.86362666779
23718,56648.45,55384.355251623165
23719,56628.95,55361.03744757903
23720,56612.95,55338.55586961563
23721,56613.55,55338.98391622715
23722,56619.15,55353.050254336966
23723,56608.9,55343.66112315393
23724,56599.95,55332.863833005555
23725,56585.85,55326.33817913138
23726,56594.4,55336.54989027722
23727,56596.2,55340.56806997838
23728,56606.25,55354.325363652315
23729,56615.5,55358.930125747036
23730,56602.0,55342.516253993716
23731,56599.9,55343.06992516164
23732,56606.05,55343.02376917447
23733,56609.7,55347.37768351279
23734,56612.45,55349.56969154732
23735,56620.5,55360.38464137775
23736,56632.1,55365.40340260965
23737,56629.65,55367.86652689932
23738,56619.45,55353.52024269336
23739,56608.65,55349.77719281144
23740,56604.75,55344.68237453979
23741,56596.4,55337.32270204517
23742,56593.5,55331.075388841506
23743,56594.9,55332.92985613504
23744,56607.6,55343.244113843684
23745,56604.85,55346.551692020505
23746,56602.0,55346.4302817064
23747,56593.15,55333.6101552504
23748,56589.95,55330.518707500494
23749,56590.0,55334.03739914909
23750,56588.0,55330.29495130179
23751,56595.45,55338.18160476306
23752,56580.25,55313.41630882539
23753,56582.55,55323.06953252638
23754,56597.75,55336.019497781104
23755,56595.95,55331.68344380302
23756,56596.4,55334.038803896525
23757,56602.5,55345.577600012846
23758,56616.85,55356.69758071505
23759,56621.15,55368.55625789031
23760,56616.4,55368.68388922878
23761,56606.65,55360.53033375466
23762,56602.85,55349.71116968194
23763,56605.55,55354.769263842034
23764,56608.75,55357.417814793225
23765,56608.55,55357.754552821425
23766,56594.65,55340.245379424545
23767,56604.15,55357.66826119323
23768,56611.3,55363.580040437904
23769,56614.75,55364.90893151223
23770,56612.65,55364.15418078277
23771,56607.4,55358.472780117554
23772,56610.5,55359.00578143037
23773,56605.15,55356.129862072754
23774,56611.75,55362.07194372641
23775,56612.85,55357.89843909451
23776,56612.4,55363.24711529563
23777,56596.45,55348.51191672814
23778,56597.85,55349.35576858067
23779,56603.6,55358.660213561154
23780,56610.95,55363.083963914854
23781,56611.75,55363.98661448149
23782,56606.95,55364.76785473403
23783,56612.65,55366.06704543398
23784,56616.1,55373.58826388376
23785,56606.0,55369.92729138771
23786,56610.7,55372.51523752096
23787,56617.85,55380.16769951689
23788,56620.7,55384.94424215519
23789,56630.3,55391.218847594726
23790,56627.45,55392.57503090495
23791,56622.0,55389.454284137086
23792,56633.1,55394.303873642086
23793,56644.85,55402.51241494438
23794,56660.85,55418.94816062206
23795,56652.4,55414.3578473581
23796,56655.05,55415.38311230809
23797,56663.2,55419.31821123231
23798,56658.9,55418.72480577976
23799,56666.7,55430.71773667426
23800,56669.55,55427.699335791025
23801,56669.55,55431.10424289732
23802,56670.25,55434.25729885619
23803,56679.85,55441.31595404316
23804,56676.3,55439.16347961501
23805,56698.1,55457.607612769585
23806,56700.6,55456.88637530035
23807,56713.8,55466.52956509107
23808,56704.45,55462.616139412996
23809,56703.8,55462.05604654249
23810,56703.5,55462.28983665148
23811,56706.25,55462.034975330964
23812,56722.8,55479.133159763755
23813,56726.55,55483.48968291875
23814,56714.6,55466.63793132185
23815,56724.35,55476.366610027944
23816,56727.05,55478.75889491121
23817,56726.65,55480.37515717526
23818,56721.55,55474.7391097844
23819,56708.05,55463.43892005399
23820,56694.55,55449.88972967877
23821,56703.15,55459.43197833232
23822,56692.85,55452.8292640274
23823,56690.1,55455.74491766963
23824,56689.9,55452.92579024408
23825,56679.65,55448.957178059565
23826,56685.15,55456.70837373242
23827,56683.75,55457.44707020547
23828,56690.85,55462.546905432224
23829,56684.0,55451.58827000693
23830,56668.45,55444.46519711614
23831,56674.15,55447.97546028013
23832,56666.15,55438.99731806118
23833,56666.0,55437.14224873302
23834,56675.15,55438.04750811634
23835,56668.7,55436.79949035868
23836,56677.05,55445.481832903264
23837,56684.65,55451.96835452743
23838,56688.7,55455.346370754254
23839,56692.35,55459.016373769526
23840,56686.55,55448.038473236535
23841,56698.1,55455.183620729884
23842,56701.35,55454.06524109276
23843,56698.75,55450.84977421208
23844,56695.3,55444.06564680974
23845,56694.45,55449.51967906854
23846,56689.95,55448.921858695474
23847,56694.85,55449.818288237744
23848,56692.1,55449.50703634161
23849,56693.05,55450.53992706338
23850,56689.55,55443.98778366614
23851,56695.95,55445.02127642252
23852,56693.15,55447.27087910193
23853,56689.8,55444.601858973816
23854,56674.45,55426.77119909233
23855,56668.35,55422.22804520658
23856,56673.75,55423.03095870526
23857,56675.4,55428.846813767916
